Youtube Account,Instagram,Address,Name,Phone NO. ,Mail ,Google Maps,Vercel
,,"F962+MQ2, Kondapur Main Road, Kondapur, Sri Ram Nagar, Gachibowli, Kondapur, Hyderabad, Telangana 500084",Imaster,9000081177,,https://maps.app.goo.gl/UihgHfUfqcYRfWg97,imasterhydV9D5.ip360.in
,,"shop no -6, ground floor survey no 82/p MNR Avenue, Opp to pakwan hotel, raidurgam, Gachibowli Rd, Hyderabad, Telangana 500032",iGadgets,9666691886,,https://maps.app.goo.gl/iPRQdWsERy53ekUQ6,gadgetproK7R3.ip360.in
,,"Janapriya Apartment, Jana Priya Utopia, Attapur, Upperpally, Telangana 500048",iTech,7013655438,,https://maps.app.goo.gl/G6cTkxrS8NycFkB39,itechP2H6.ip360.in
,,"Shop No:11, Reddys Hostel Building, Abids, Hyderabad, Telangana 500001",iphone carrier,9390905516,,https://maps.app.goo.gl/7FyJWP97zkEccDM57,iphonecarrierX8M1.ip360.in
,,"9G9C+4PP, 16-11-740/9/7/C/3 Ranjeet Tower, Gaddiannaram, Dilsukhnagar, Hyderabad, Telangana 500060",T-mobile,9000297773,,https://maps.app.goo.gl/eEHifSLngEn3Sn9z7,tmobileL5T4.ip360.in
,,"17-86, opp. pulla reddy sweets, Vijaya Residency, Chaitanyapuri, Dilsukhnagar, Hyderabad, Telangana 500060",Ismart,9052514144,,https://maps.app.goo.gl/YotmZ2JMjL1CcpiGA,ismartserviceQ9B7.ip360.in
,,"2nd Main Rd, opp. Station Halsuru, Halasuru, Gupta Layout, Bengaluru, Karnataka 560008",iphone repair,7483735853,,https://maps.app.goo.gl/SQWGGnfA6FpoDeXa8,iphonerepairN3Y8.ip360.in
,,"metro pillar number 125, of Mg, police station, 37, metro road, opposite to Bhadra Landmark, Halasuru, Gupta Layout, Bengaluru, Karnataka 560008",Red Apple,8660663776,,https://maps.app.goo.gl/tkDvbqRw6u6qQWbX9,redappleG6C2.ip360.in
,,"Prime Mall, G/27, lane, opp. alfa1, Navpada, Irla, Vile Parle West, Mumbai, Maharashtra 400056",Repair Hub,9773589084,,https://maps.app.goo.gl/jinzi6NnqRRsMwyQ9,repairhubF1V9.ip360.in
,,"Shop Number 2, Mohammadi Manzil, Lady Jamshedji Rd, opposite Sitladevi Temple Road, next to Vi Vodafone idea store, Right, New Dinkar Co Operative Housing Society, Mahim, Mumbai, Maharashtra 400016",iDevice,7875003830,,https://maps.app.goo.gl/nPL77AroJnCdQnes5,ideviceZ4J5.ip360.in
,,"8, Raobahadur SK Bole Rd, Dadar West, Prabhadevi, Mumbai, Maharashtra 400028",i-Service,9082539108,,https://maps.app.goo.gl/EczgPprFGHURDGuc7,iserviceD8K7.ip360.in
,,"Shop No 2 Lalan Buliding Devidalyal Road Panchrasta, T Ward, Devi Dayal Rd, near MCGM BMC, near BMC T word, Mulund West, Maharashtra 400080",iPhone repair,9867738315,,https://maps.app.goo.gl/itAsdgxBVBpK7er16,repairiphoneU2P3.ip360.in
,,"Shop No.10/c, B-wing, Kiran Tower, P.G. Road, Malad (w, near Toyota Showroom, Rajan Pada, Mumbai, Maharashtra 400064",CELL4YOU,9867575450,,https://maps.app.goo.gl/fZWCJq1CNLY2MhmJ6,cell4youE7X1.ip360.in
,,"Shop No. 119, MCD Market, Karol Bagh, New Delhi, Delhi 110005",iPhone repair,8800422202,,https://maps.app.goo.gl/vTUWc7FP2KoyAoQy9,repairiphone2S5L9.ip360.in
,,"Shop no - 5, Crescent square mall, Market, Rajapur, Sector 9, Rohini, Delhi, 110085",Café I,9999984705,,https://maps.app.goo.gl/CkJa7YYPZLoBS1HP7,cafiserviceW3Q6.ip360.in
,,"Shop number-3, E-273, Block E, Ramesh Nagar, New Delhi, Delhi, 110015",iPhone Repair,9560664846,,https://maps.app.goo.gl/Bk5PLM1jc7DdMUeu8,repairiphone3I8N4.ip360.in
,,"Ashok Nagar, Block 15 Near Subhash Nagar Metro Station, New Delhi, Delhi 110018",Apple I phone,9891229562,,https://maps.app.goo.gl/k8ydYiNLTFGGy6Q1A,appleiserviceO1R7.ip360.in
,,"Pillar No 96, Office Number 5, Ground Floor LSC, behind Chaayos Cafe, New Rajdhani Enclave, Preet Vihar, New Delhi, Delhi 110092",iPoint,7210906000,,https://maps.app.goo.gl/ibFtBP9WWuFuQVcQ7,ipointserviceA6Y2.ip360.in
,,"DA-18, First Floor, East, Vikash Marg Rd, opp. Metro Pillar Number 51, Veer Savarkar Block, Block Da, Shakarpur, Delhi, 110092",iMount,8700606289,,https://maps.app.goo.gl/5DJiw3fEXoZVn4sw8,imountdelhiM4F9.ip360.in
,,"A 101, chowk, near bharat petrol pump, Siddhartha Enclave, Hari Nagar Ashram, New Delhi, Delhi 110014",iCare Expert,8287300721,,https://maps.app.goo.gl/w6gDAninvFTqgjTv9,icareexpertT7C5.ip360.in
,,"DSC Gfk 1c South Court Mall Saket 110017, New Delhi, Delhi 110017",Fix My phone,9650565877,,https://maps.app.goo.gl/3VeXCRU2EAmuZebc7,fixmyphonesaketH2Z8.ip360.in
,,"shop no. 563, Lekhraj Dollar, bhutnath sabji mandi, Lekharaj Dollar, Sector 5, Indira Nagar, Lucknow, Uttar Pradesh 226016",CHANDNI MOBILE REPAIRING,9170918878,,https://maps.app.goo.gl/b1DqGahhgfTtR24z6,chandnimobileB9P1.ip360.in
,,"office A, Gangotri Complex, 15, Balmiki Marg, behind Sony World, Hazratganj, Lucknow, Uttar Pradesh 226001",Apple Mac Repair,9616688896,,https://maps.app.goo.gl/ri2WDtdhcHfD1SJ67,applemacK5W3.ip360.in
,,"G-61, iswari Dayal Market, Gautam Buddha Marg, opp. Nixon Market, Qurashi Nagar, Aminabad, Lucknow, Uttar Pradesh 226018",Icare,9369165973,,https://maps.app.goo.gl/nzyZLzzTPExhJKPP6,icarehubR8D6.ip360.in
,,"1st floor, Gagan Plaza, Market Metro Station, Offic, 15, 02, Kanpur Rd, Krishna Nagar, Lucknow, Uttar Pradesh 226023",Mac Apple Repair,9616688886,,https://maps.app.goo.gl/kEr2TP77VWEWgBbk9,macapplerepairV1L4.ip360.in
,,"Shop.No 28,Kingship by, kahlon emporium, 1, Sector 16, Brindavan Gate, Vrindavan Colony, Lucknow, Uttar Pradesh 226029",Apple Fix pros,9235404036,,https://maps.app.goo.gl/eQpxZUoRGvemdYdd6,applefixprosQ7J2.ip360.in
,,"First Floor, Draupadi Tower, Sultanpur Rd, near IDFC FIRST BANK, Arjunganj, Lucknow, Uttar Pradesh 226002",HAMMER N FIX,7619976199,,https://maps.app.goo.gl/GWScbMCbRuNKBMgk6,hammernN6X9.ip360.in
,,"LGF, Sahara plaza, C-134, Patrakarpuram Crossing Rd, Vikas Khand 1, Vikas Khand, Gomti Nagar, Lucknow, Uttar Pradesh 226010",New Apple Fix,8707340110,,https://maps.app.goo.gl/cctSQ83Ey83r3Ay19,newappleG3M5.ip360.in
,,"Shop no-134, UGF, Lekhraj Gold Complex, Munshi Pulia, Sector 16, Indira Nagar, Lucknow, Uttar Pradesh 226016",Premium A store,9118362876,,https://maps.app.goo.gl/CELoJNCRmVve8u1q9,premiumastoreF8T1.ip360.in
